"TIMESTAMP","RECORD","VWC","EC","T","DateTime_YSI","Battery","Conductivity","Temperature","Turbidity","Depth","DateTime_spv3","Turb_spv3","TSSeq","TOCeq","DOCeq","NO3eq","Temp_spv3"
"2024-02-02 15:00:00",0,0.104,0.024,11.4,"NAN",0,0,0,0,0,"2044-02-16 06:06:05.000011",8.38,6.156,5.094,2.375,5.313,11.81
"2024-02-02 15:15:00",1,0.104,0.024,11.4,"NAN",0,0,0,0,0,"2044-02-16 06:06:05.000011",8.75,6.344,5.125,2.375,5.344,11.94
"2024-02-02 15:30:00",2,0.104,0.024,11.4,"NAN",0,0,0,0,0,"2044-02-16 06:06:05.000011",8.75,6.344,5.125,2.375,5.344,11.94
"2024-02-02 15:45:00",3,0.104,0.024,11.4,"NAN",0,0,0,0,0,"2043-07-13 01:04:01.000014",1,0,0,0.006,1.781,14.63
"2024-02-02 16:00:00",4,0.105,0.025,12.12,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.094,0.038,14.63
"2024-02-02 16:15:00",5,0.105,0.025,12.12,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.104,0,14.63
"2024-02-02 16:30:00",6,0.105,0.025,12.12,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.096,0.081,14.56
"2024-02-02 16:45:00",7,0.105,0.025,12.12,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.068,0,14.56
"2024-02-02 17:00:00",8,0.106,0.026,12.45,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.173,0.008,14.56
"2024-02-02 17:15:00",9,0.106,0.026,12.45,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.111,0.023,14.56
"2024-02-02 17:30:00",10,0.106,0.026,12.45,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.13,0.1,14.5
"2024-02-02 17:45:00",11,0.106,0.026,12.45,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.092,0.04,14.5
"2024-02-02 18:00:00",12,0.105,0.026,12.82,"NAN",0,0,0,0,0,"2043-06-12 01:04:00.000014",0,0,0,0.111,0.085,14.44
"2024-02-02 18:15:00",13,0,0,0,150224,0,436.6,11.81,3.96,0.043,"2043-06-12 01:04:00.000011",0,0,0.081,0.153,0.198,11.19
"2024-02-02 18:30:00",14,0,0,0,150224,0,437.4,11.87,3.91,0.04,"2043-06-12 01:04:00.000011",0,0,0.144,0.156,0.099,11.31
